entity_name,technique_id_seq,num_techniques,motive,source
LockBit3,T1552.001 -> T1486 -> T1562.001 -> T1087.002 -> T1069.002 -> T1482 -> T1048 -> T1567.002 -> T1615 -> T1003.001 -> T1204.002 -> T1036 -> T1036.005 -> T1003.003 -> T1059.001 -> T1057 -> T1055 -> T1090 -> T1547.001 -> T1021.001 -> T1018 -> T1053.005 -> T1569.002 -> T1021.002 -> T1071.001 -> T1059.003 -> T1047 -> T1021.006,28,Financial,https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware/
BlackSuit3,T1548 -> T1560 -> T1558.004 -> T1486 -> T1069.002 -> T1482 -> T1490 -> T1558.003 -> T1003.001 -> T1204.002 -> T1112 -> T1059.001 -> T1055 -> T1090 -> T1547.001 -> T1021.001 -> T1018 -> T1518.001 -> T1569.002 -> T1021.002 -> T1518 -> T1082 -> T1071.001 -> T1059.003 -> T1550.002,25,Financial,https://thedfirreport.com/2024/08/26/blacksuit-ransomware/
DragonLocker,T1134 -> T1560.001 -> T1486 -> T1562.004 -> T1087.002 -> T1069.002 -> T1482 -> T1567.002 -> T1083 -> T1490 -> T1003.001 -> T1204.002 -> T1135 -> T1055 -> T1219 -> T1053.005 -> T1082 -> T1614.001 -> T1124 -> T1071.001 -> T1021.002 -> T1059.003 -> T1047 -> T1059.001 -> T1059.003 -> T1059.007 -> T1218.011 -> T1027.010 -> T1136.002 -> T1552.001 -> T1562.001 -> T1033 -> T1039 -> T1573 -> T1105 -> T1020 -> T1489,37,Financial,https://thedfirreport.com/2024/04/29/from-icedid-to-dagon-locker-ransomware-in-29-days/
Nokoyawa,T1552.001 -> T1486 -> T1039 -> T1069.002 -> T1482 -> T1048 -> T1083 -> T1070 -> T1105 -> T1003.001 -> T1204.002 -> T1036.008 -> T1036 -> T1046 -> T1566 -> T1059.001 -> T1057 -> T1055 -> T1218.010 -> T1219 -> T1021.001 -> T1018 -> T1218.011 -> T1053.005 -> T1518.001 -> T1082 -> T1033 -> T1071.001 -> T1059.003 -> T1543.003,30,Financial,https://thedfirreport.com/2024/04/01/from-onenote-to-ransomnote-an-ice-cold-intrusion/
Trigona,T1078 -> T1133 -> T1059.003 -> T1059.001 -> T1021.001 -> T1486 -> T1018 -> T1069.002 -> T1033 -> T1135 -> T1083 -> T1562.001 -> T1567.002 -> T1112 -> T1570 -> T1105 -> T1547.001,17,Financial,https://thedfirreport.com/2024/01/29/buzzing-on-christmas-eve-trigona-ransomware-in-3-hours/
BlueSky,T1078 -> T1110 -> T1053.005 -> T1059.003 -> T1059.001 -> T1562.001 -> T1055 -> T1003.001 -> T1033 -> T1135 -> T1486 -> T1021.002 -> T1071.001 -> T1569.002 -> T1112 -> T1027 -> T1543.003 -> T1036.004,18,Financial,https://thedfirreport.com/2023/12/04/sql-brute-force-leads-to-bluesky-ransomware/
Quantum,T1204 -> T1614.001 -> T1218.011 -> T1059.001 -> T1059.003 -> T1055 -> T1055.012 -> T1003.001 -> T1486 -> T1482 -> T1021.002 -> T1083 -> T1518.001 -> T1047 -> T1087.002 -> T1082 -> T1018 -> T1053.005 -> T1071.001,19,Financial,https://thedfirreport.com/2022/04/25/quantum-ransomware/
Diavol,T1566.002 -> T1197 -> T1558.003 -> T1558.004 -> T1552.002 -> T1021.001 -> T1567.002 -> T1003 -> T1021.002 -> T1033 -> T1046 -> T1055 -> T1059.001 -> T1069.002 -> T1083 -> T1134 -> T1135 -> T1482 -> T1486 -> T1562.001 -> T1078,21,Financial,https://thedfirreport.com/2021/12/13/diavol-ransomware/
XingLocker,T1003 -> T1021.002 -> T1033 -> T1046 -> T1047 -> T1053 -> T1055 -> T1059.001 -> T1069.002 -> T1083 -> T1134 -> T1135 -> T1482 -> T1486 -> T1518.001 -> T1562.001,16,Financial,https://thedfirreport.com/2021/10/18/icedid-to-xinglocker-ransomware-in-24-hours/
Conti,T1550.002 -> T1055 -> T1059.001 -> T1018 -> T1569.002 -> T1059.003 -> T1087 -> T1482 -> T1082 -> T1021 -> T1047 -> T1048 -> T1021.001 -> T1021.002 -> T1486 -> T1518.001 -> T1012,17,Financial,https://thedfirreport.com/2021/09/13/bazarloader-to-conti-ransomware-in-32-hours/
Sodinokibi,T1566.001 -> T1204 -> T1047 -> T1055 -> T1482 -> T1087.002 -> T1082 -> T1016 -> T1518.001 -> T1021.002 -> T1021.001 -> T1071 -> T1048.002 -> T1486 -> T1204.002 -> T1059 -> T1059.001 -> T1053.005 -> T1018 -> T1218.011,20,Financial,https://thedfirreport.com/2021/03/29/sodinokibi-aka-revil-ransomware/
Conti2,T1059 -> T1090.002 -> T1021.001 -> T1003 -> T1550.002 -> T1569.002 -> T1021.002 -> T1486 -> T1033 -> T1069 -> T1071 -> T1055 -> T1484 -> T1134 -> T1136 -> T1018 -> T1046 -> T1087.002 -> T1562,19,Financial,https://thedfirreport.com/2021/05/12/conti-ransomware/
BazarCall,T1566.001 -> T1218.010 -> T1562.001 -> T1482 -> T1003.001 -> T1033 -> T1059.001 -> T1074.001 -> T1082 -> T1087.001 -> T1087.002 -> T1003.003 -> T1047 -> T1217 -> T1486 -> T1021.002,16,Financial,https://thedfirreport.com/2021/08/01/bazarcall-to-conti-ransomware-via-trickbot-and-cobalt-strike/
PYSA,T1133 -> T1078 -> T1218.005 -> T1059.001 -> T1087.001 -> T1018 -> T1083 -> T1482 -> T1087 -> T1053.005 -> T1570 -> T1021.002 -> T1021.001 -> T1003 -> T1003.001 -> T1057 -> T1071 -> T1041 -> T1486 -> T1218.011,20,Financial,https://thedfirreport.com/2020/11/23/pysa-mespinoza-ransomware/
Ryuk,T1566.002 -> T1021.001 -> T1105 -> T1047 -> T1059 -> T1482 -> T1018 -> T1124 -> T1486 -> T1071 -> T1573 -> T1204 -> T1078 -> T1068 -> T1218 -> T1218.011 -> T1218.010,17,Financial,https://thedfirreport.com/2020/10/18/ryuk-in-5-hours/
Bazarloader,T1566 -> T1566.001 -> T1078.002 -> T1059 -> T1204 -> T1059.001 -> T1059.003 -> T1204.002 -> T1136 -> T1078 -> T1087.001 -> T1055 -> T1055.012 -> T1218 -> T1218.011 -> T1003 -> T1003.001 -> T1003.005 -> T1482 -> T1087 -> T1083 -> T1057 -> T1135 -> T1018 -> T1518 -> T1033 -> T1124 -> T1570 -> T1021 -> T1021.001 -> T1021.002 -> T1021.006 -> T1005 -> T1039 -> T1074 -> T1074.001 -> T1074.002,37,Financial,https://thedfirreport.com/2021/10/04/bazarloader-and-the-conti-leaks/
Conti3,T1218.010 -> T1218.005 -> T1218.011 -> T1567.002 -> T1105 -> T1059.005 -> T1059.007 -> T1059.001 -> T1055 -> T1486 -> T1482 -> T1047 -> T1021.002 -> T1124 -> T1021.001 -> T1566.001 -> T1087.002 -> T1087.001 -> T1057 -> T1083 -> T1590.005,21,Financial,https://thedfirreport.com/2021/11/29/continuing-the-bazar-ransomware-story/
Quantum2,T1566.001 -> T1047 -> T1059.003 -> T1204.002 -> T1059.001 -> T1569.002 -> T1053.005 -> T1068 -> T1134 -> T1218.010 -> T1218.011 -> T1003.006 -> T1003.001 -> T1482 -> T1082 -> T1018 -> T1615 -> T1614.001 -> T1124 -> T1135 -> T1087.002 -> T1083 -> T1021.001 -> T1021.002 -> T1570 -> T1021.006 -> T1074.001 -> T1071.001 -> T1567.002 -> T1486 -> T1531 -> T1562.001 -> T1553.005 -> T1033,34,Financial,https://thedfirreport.com/2023/04/03/malicious-iso-file-leads-to-domain-wide-ransomware/
Quantum3,T1059.001 -> T1055 -> T1070.004 -> T1570 -> T1078 -> T1569.002 -> T1021.002 -> T1018 -> T1057 -> T1218.011 -> T1218.010 -> T1087.002 -> T1069.002 -> T1082 -> T1486 -> T1135 -> T1039 -> T1071.001 -> T1219 -> T1567.002 -> T1021.001 -> T1204.002 -> T1566.001 -> T1210,24,Financial,https://thedfirreport.com/2022/11/28/emotet-strikes-again-lnk-file-leads-to-domain-wide-ransomware/
Akira2,T1136 -> T1555 -> T1486 -> T1039 -> T1021.003 -> T1574.001 -> T1087.002 -> T1568.002 -> T1069.002 -> T1482 -> T1189 -> T1041 -> T1048.001 -> T1083 -> T1490 -> T1087.001 -> T1069.001 -> T1003.001 -> T1204.002 -> T1036 -> T1046 -> T1135 -> T1003.003 -> T1059.001 -> T1055 -> T1090 -> T1219 -> T1021.001 -> T1018 -> T1569.002 -> T1082 -> T1033 -> T1071.001 -> T1059.003 -> T1047 -> T1543.003 -> T1070.004 -> T1027.010,38,Financial,https://thedfirreport.com/2026/06/29/from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira-3/
Ryuk2,T1204 -> T1047 -> T1569.002 -> T1059 -> T1059.001 -> T1218.011 -> T1055 -> T1078 -> T1562.001 -> T1087 -> T1482 -> T1046 -> T1012 -> T1018 -> T1518.001 -> T1021 -> T1071 -> T1486,18,Financial,https://thedfirreport.com/2020/10/08/ryuks-return/
Ryuk3,T1566.002 -> T1204 -> T1059 -> T1482 -> T1550.002 -> T1021.001 -> T1021.002 -> T1087.002 -> T1069.002 -> T1082 -> T1124 -> T1518.001 -> T1518 -> T1218.011 -> T1071.004 -> T1569.002 -> T1059.001 -> T1547.001,18,Financial,https://thedfirreport.com/2021/01/31/bazar-no-ryuk/
AppleJeus,T1071.001 -> T1217 -> T1543.004 -> T1678 -> T1189 -> T1573.001 -> T1546.016 -> T1203 -> T1574.001 -> T1559 -> T1027 -> T1027.009 -> T1027.013 -> T1055 -> T1055.002 -> T1620 -> T1553.002 -> T1195.002 -> T1218.007 -> T1218.015 -> T1078 -> T1102.001,22,Financial,https://attack.mitre.org/campaigns/C0057/
GTG-1002,T1087 -> T1595.001 -> T1595.002 -> T1119 -> T1584.004 -> T1136.001 -> T1213.006 -> T1005 -> T1074.001 -> T1587.004 -> T1567 -> T1190 -> T1083 -> T1592.002 -> T1592.004 -> T1590.004 -> T1683 -> T1046 -> T1588.002 -> T1588.007 -> T1082 -> T1016 -> T1049 -> T1552.001 -> T1078 -> T1078.003,26,Espionage,https://attack.mitre.org/campaigns/C0062/
APT28,T1560.001 -> T1110.003 -> T1059.001 -> T1059.003 -> T1584 -> T1074.001 -> T1140 -> T1006 -> T1686.003 -> T1561.001 -> T1567 -> T1003.002 -> T1003.003 -> T1090.001 -> T1021.001 -> T1021.002 -> T1016.002 -> T1669,18,Espionage,https://attack.mitre.org/campaigns/C0051/
APT41,T1583.007 -> T1071.001 -> T1560.001 -> T1119 -> T1586.003 -> T1543.003 -> T1213.006 -> T1074.001 -> T1573.002 -> T1567.002 -> T1574.001 -> T1070.004 -> T1105 -> T1036.004 -> T1027.013 -> T1588.003 -> T1596.005 -> T1593.002 -> T1594 -> T1505.003 -> T1553.002 -> T1569.002 -> T1102,23,Espionage,https://attack.mitre.org/campaigns/C0040/
